Paper,Weight
On Random Graphs,3817
The structure and function of complex networks,17062
Complex networks: Structure and dynamics,8071
Community detection in graphs,6473
Social and economic networks,4098
Finding and evaluating community structure in networks,9836
The wealth of networks: How social production transforms markets and freedom,9571
The black swan: The impact of the highly improbable,7461
Nonparametric statistical inference,3753
Random graphs with arbitrary degree distributions and their applications,3497
Consensus and cooperation in networked multi-agent systems,6545
Evolution of networks,3276
Measurement and analysis of online social networks,2979
Evolution of the social network of scientific collaborations,2601
Modularity and community structure in networks,6208
Statistical physics of social dynamics,2613
Business intelligence and analytics: from big data to big impact,2699
Small worlds: the dynamics of networks between order and randomness,5767
"Precis of foundations of language: brain, meaning, grammar, evolution",4625
Finding community structure in very large networks,4652
Complex brain networks: graph theoretical analysis of structural and functional systems,5677
Complex network measures of brain connectivity: uses and interpretations,3883
Spurious but systematic correlations in functional connectivity MRI networks arise from subject motion,2619
Principles of animal communication,3124
Link communities reveal multiscale complexity in networks,1444
Finding community structure in networks using the eigenvectors of matrices,2932
Community detection algorithms: a comparative analysis,1341
Spatial networks,1238
Synchronization in complex networks,2251
Functional network organization of the human brain,1244
Catastrophic cascade of failures in interdependent networks,2240
Resolution limit in community detection,2001
Temporal networks,1218
Community structure in large networks: Natural cluster sizes and the absence of large well-defined clusters,1184
The structure and dynamics of multilayer networks,1124
"Community structure in time-dependent, multiscale, and multiplex networks",1035
Research methodology: Methods and techniques,14283
"Unequal childhoods: Class, race, and family life",6496
The content analysis guidebook,8706
Entertainment industry economics: A guide for financial analysis,1614
Graph theoretic methods in multiagent networks,1497
Cluster analysis for applications,7888
Designing experiments and analyzing data: A model comparison perspective,3222
Randomization tests,2901
The role of boards of directors in corporate governance: A conceptual framework and survey,1435
The network origins of aggregate fluctuations,825
Correlation and dependence in risk management: properties and pitfalls,2446
Copula methods in finance,2164
"Functional neuroimaging of anxiety: a meta-analysis of emotional processing in PTSD, social anxiety disorder, and specific phobia",2125
Applied nonparametric statistical methods,1744
Innovation diffusion and new product growth models: A critical review and research directions,701
Naive learning in social networks and the wisdom of crowds,690
Statistical and econometric methods for transportation data analysis,1769
Community structure in social and biological networks,10855
Statistical mechanics of complex networks,19821
Assortative mixing in networks,3983
Exploring complex networks,7466
Network motifs: simple building blocks of complex networks,5449
The structure of scientific collaboration networks,4716
Mixing patterns in networks,2157
The link-prediction problem for social networks,3725
The Architecture of Complex Weighted Networks: Measurements and Models,2723
Hierarchical organization in complex networks,1800
Coauthorship networks and patterns of scientific collaboration,1579
On the evolution of user interaction in facebook,1216
De-anonymizing social networks,1040
User interactions in social networks and their implications,924
Defining and evaluating network communities based on ground-truth,904
A few chirps about twitter,835
Key differences between Web 1.0 and Web 2.0,844
Characterizing user behavior in online social networks,811
A measurement-driven analysis of information propagation in the flickr social network,780
Quantifying social group evolution,1487
Clustering and preferential attachment in growing networks,1273
"Nonlinear dynamics and chaos: with applications to physics, biology, chemistry, and engineering",9999
Sybillimit: A near-optimal social network defense against sybil attacks,672
Introduction,651
Limits of predictability in human mobility,1992
Identification of influential spreaders in complex networks,1254
Coevolutionary games-a mini review,1117
Collective motion,1110
Recommender systems,640
Evolutionary dynamics of group interactions on structured populations: a review,590
Fractal physiology and chaos in medicine,531
