From,To,Weight
On Random Graphs,The structure and function of complex networks,
On Random Graphs,Complex networks: Structure and dynamics,
On Random Graphs,Community detection in graphs,
On Random Graphs,Social and economic networks,
On Random Graphs,Nonparametric statistical inference,
On Random Graphs,Random graphs with arbitrary degree distributions and their applications,
On Random Graphs,Evolution of networks,
On Random Graphs,Measurement and analysis of online social networks,
On Random Graphs,Evolution of the social network of scientific collaborations,
On Random Graphs,Statistical physics of social dynamics,
The structure and function of complex networks,Finding and evaluating community structure in networks,
The structure and function of complex networks,The wealth of networks: How social production transforms markets and freedom,
The structure and function of complex networks,Complex networks: Structure and dynamics,
The structure and function of complex networks,The black swan: The impact of the highly improbable,
The structure and function of complex networks,Consensus and cooperation in networked multi-agent systems,
The structure and function of complex networks,Community detection in graphs,
The structure and function of complex networks,Modularity and community structure in networks,
The structure and function of complex networks,Small worlds: the dynamics of networks between order and randomness,
The structure and function of complex networks,"Precis of foundations of language: brain, meaning, grammar, evolution",
The structure and function of complex networks,Finding community structure in very large networks,
Community detection in graphs,Business intelligence and analytics: from big data to big impact,
Community detection in graphs,Spurious but systematic correlations in functional connectivity MRI networks arise from subject motion,
Community detection in graphs,Link communities reveal multiscale complexity in networks,
Community detection in graphs,Community detection algorithms: a comparative analysis,
Community detection in graphs,Spatial networks,
Community detection in graphs,Functional network organization of the human brain,
Community detection in graphs,Temporal networks,
Community detection in graphs,Community structure in large networks: Natural cluster sizes and the absence of large well-defined clusters,
Community detection in graphs,The structure and dynamics of multilayer networks,
Community detection in graphs,"Community structure in time-dependent, multiscale, and multiplex networks",
Complex networks: Structure and dynamics,The structure and function of complex networks,
Complex networks: Structure and dynamics,Community detection in graphs,
Complex networks: Structure and dynamics,Complex brain networks: graph theoretical analysis of structural and functional systems,
Complex networks: Structure and dynamics,Complex network measures of brain connectivity: uses and interpretations,
Complex networks: Structure and dynamics,Principles of animal communication,
Complex networks: Structure and dynamics,Finding community structure in networks using the eigenvectors of matrices,
Complex networks: Structure and dynamics,Statistical physics of social dynamics,
Complex networks: Structure and dynamics,Synchronization in complex networks,
Complex networks: Structure and dynamics,Catastrophic cascade of failures in interdependent networks,
Complex networks: Structure and dynamics,Resolution limit in community detection,
Social and economic networks,"Unequal childhoods: Class, race, and family life",
Social and economic networks,Small worlds: the dynamics of networks between order and randomness,
Social and economic networks,Principles of animal communication,
Social and economic networks,Entertainment industry economics: A guide for financial analysis,
Social and economic networks,Graph theoretic methods in multiagent networks,
Social and economic networks,The role of boards of directors in corporate governance: A conceptual framework and survey,
Social and economic networks,Temporal networks,
Social and economic networks,The network origins of aggregate fluctuations,
Social and economic networks,Innovation diffusion and new product growth models: A critical review and research directions,
Social and economic networks,Naive learning in social networks and the wisdom of crowds,
Nonparametric statistical inference,Research methodology: Methods and techniques,
Nonparametric statistical inference,The content analysis guidebook,
Nonparametric statistical inference,Cluster analysis for applications,
Nonparametric statistical inference,Designing experiments and analyzing data: A model comparison perspective,
Nonparametric statistical inference,Randomization tests,
Nonparametric statistical inference,Correlation and dependence in risk management: properties and pitfalls,
Nonparametric statistical inference,Copula methods in finance,
Nonparametric statistical inference,"Functional neuroimaging of anxiety: a meta-analysis of emotional processing in PTSD, social anxiety disorder, and specific phobia",
Nonparametric statistical inference,Applied nonparametric statistical methods,
Nonparametric statistical inference,Statistical and econometric methods for transportation data analysis,
Random graphs with arbitrary degree distributions and their applications,Community structure in social and biological networks,
Random graphs with arbitrary degree distributions and their applications,Statistical mechanics of complex networks,
Random graphs with arbitrary degree distributions and their applications,The structure and function of complex networks,
Random graphs with arbitrary degree distributions and their applications,Complex networks: Structure and dynamics,
Random graphs with arbitrary degree distributions and their applications,Exploring complex networks,
Random graphs with arbitrary degree distributions and their applications,The black swan: The impact of the highly improbable,
Random graphs with arbitrary degree distributions and their applications,Network motifs: simple building blocks of complex networks,
Random graphs with arbitrary degree distributions and their applications,The structure of scientific collaboration networks,
Random graphs with arbitrary degree distributions and their applications,Social and economic networks,
Random graphs with arbitrary degree distributions and their applications,Assortative mixing in networks,
Evolution of networks,The structure and function of complex networks,
Evolution of networks,Complex networks: Structure and dynamics,
Evolution of networks,Community detection in graphs,
Evolution of networks,Modularity and community structure in networks,
Evolution of networks,Finding community structure in very large networks,
Evolution of networks,Assortative mixing in networks,
Evolution of networks,Finding community structure in networks using the eigenvectors of matrices,
Evolution of networks,Statistical physics of social dynamics,
Evolution of networks,Synchronization in complex networks,
Evolution of networks,Mixing patterns in networks,
Measurement and analysis of online social networks,On the evolution of user interaction in facebook,
Measurement and analysis of online social networks,De-anonymizing social networks,
Measurement and analysis of online social networks,User interactions in social networks and their implications,
Measurement and analysis of online social networks,Defining and evaluating network communities based on ground-truth,
Measurement and analysis of online social networks,A few chirps about twitter,
Measurement and analysis of online social networks,Key differences between Web 1.0 and Web 2.0,
Measurement and analysis of online social networks,Characterizing user behavior in online social networks,
Measurement and analysis of online social networks,A measurement-driven analysis of information propagation in the flickr social network,
Measurement and analysis of online social networks,Sybillimit: A near-optimal social network defense against sybil attacks,
Measurement and analysis of online social networks,Introduction,
Evolution of the social network of scientific collaborations,The structure and function of complex networks,
Evolution of the social network of scientific collaborations,Complex networks: Structure and dynamics,
Evolution of the social network of scientific collaborations,The link-prediction problem for social networks,3725
Evolution of the social network of scientific collaborations,Evolution of networks,3276
Evolution of the social network of scientific collaborations,The Architecture of Complex Weighted Networks: Measurements and Models,2723
Evolution of the social network of scientific collaborations,Statistical physics of social dynamics,2613
Evolution of the social network of scientific collaborations,Hierarchical organization in complex networks,1800
Evolution of the social network of scientific collaborations,Coauthorship networks and patterns of scientific collaboration,1579
Evolution of the social network of scientific collaborations,Quantifying social group evolution,1487
Evolution of the social network of scientific collaborations,Clustering and preferential attachment in growing networks,1273
Statistical physics of social dynamics,"Nonlinear dynamics and chaos: with applications to physics, biology, chemistry, and engineering",9999
Statistical physics of social dynamics,Limits of predictability in human mobility,1992
Statistical physics of social dynamics,Spatial networks,1238
Statistical physics of social dynamics,Identification of influential spreaders in complex networks,1254
Statistical physics of social dynamics,Coevolutionary games-a mini review,1117
Statistical physics of social dynamics,The structure and dynamics of multilayer networks,1124
Statistical physics of social dynamics,Collective motion,1110
Statistical physics of social dynamics,Recommender systems,640
Statistical physics of social dynamics,Evolutionary dynamics of group interactions on structured populations: a review,590
Statistical physics of social dynamics,Fractal physiology and chaos in medicine,531
